step,episodeID,latent_wheel_slip,latent_speed,latent_desired_speed,latent_speed_error,weight_speed_slip,latent_accel_raw,latent_brake_raw
21,0,0.1918758451938629,0.1829665303230285,0.7065919041633606,0.523625373840332,0.1729093790054321,0.3030274212360382,0.0
22,0,0.196122333407402,0.1901254206895828,0.7062714695930481,0.5161460638046265,0.1729093790054321,0.2986990511417389,0.0
23,0,0.2002285122871399,0.1972508132457733,0.7060635685920715,0.5088127851486206,0.1729093790054321,0.2944552004337311,0.0
24,0,0.2041894495487213,0.2044241428375244,0.7060031890869141,0.5015790462493896,0.1729093790054321,0.2902689576148987,0.0
25,0,0.2082375884056091,0.2109233736991882,0.7058877348899841,0.4949643611907959,0.1729093790054321,0.2864409685134887,0.0
26,0,0.2124111354351043,0.2165398299694061,0.7060229778289795,0.4894831478595733,0.1729093790054321,0.2832689583301544,0.0
27,0,0.2164898812770843,0.2219853401184082,0.7067657113075256,0.4847803711891174,0.1729093790054321,0.2805474102497101,0.0
28,0,0.2204830944538116,0.2273156493902206,0.7079439163208008,0.4806282520294189,0.1729093790054321,0.2781445384025574,0.0
29,0,0.224379152059555,0.2325944006443023,0.6702742576599121,0.4376798570156097,0.1729093790054321,0.2532898485660553,0.0
30,0,0.2277372181415558,0.237578883767128,0.6698549389839172,0.4322760701179504,0.1729093790054321,0.2501626312732696,0.0
31,0,0.2312224358320236,0.2428804039955139,0.6677243709564209,0.424843966960907,0.1729093790054321,0.2458615899085998,0.0
32,0,0.2344504594802856,0.2499109655618667,0.6640850901603699,0.4141741394996643,0.1729093790054321,0.2396868467330932,0.0
33,0,0.2380684167146682,0.2557016313076019,0.6619101166725159,0.4062084853649139,0.1729093790054321,0.2350770384073257,0.0
34,0,0.2419755160808563,0.2605699300765991,0.6597710847854614,0.3992011547088623,0.1729093790054321,0.2310218214988708,0.0
35,0,0.2458098530769348,0.2654270529747009,0.6572421789169312,0.3918151259422302,0.1729093790054321,0.226747453212738,0.0
36,0,0.2495741993188858,0.269999235868454,0.6542897820472717,0.3842905461788177,0.1729093790054321,0.2223929017782211,0.0
37,0,0.2532186508178711,0.2742534875869751,0.65073561668396,0.3764821290969848,0.1729093790054321,0.2178740948438644,0.0
38,0,0.2567124366760254,0.2781272530555725,0.6464369297027588,0.3683096766471863,0.1729093790054321,0.2131446152925491,0.0
39,0,0.2599117159843445,0.2819636464118957,0.6412662863731384,0.3593026399612427,0.1729093790054321,0.2079321444034576,0.0
40,0,0.2628003060817718,0.2857252657413482,0.635192334651947,0.3494670689105987,0.1729093790054321,0.2022401988506317,0.0
41,0,0.2654410004615783,0.2892018258571625,0.6288203001022339,0.3396184742450714,0.1729093790054321,0.1965407133102417,0.0
42,0,0.2678267359733581,0.2924626767635345,0.573711633682251,0.2812489569187164,0.1729093790054321,0.1627616733312606,0.0
43,0,0.2695471942424774,0.2949697375297546,0.5679607391357422,0.2729910016059875,0.1729093790054321,0.1579827070236206,0.0
44,0,0.2710497975349426,0.2972438037395477,0.5621000528335571,0.2648562490940094,0.1729093790054321,0.1532750427722931,0.0
45,0,0.2723285555839538,0.2993025779724121,0.5560816526412964,0.2567790746688843,0.1729093790054321,0.148600697517395,0.0
46,0,0.2737155556678772,0.3009180724620819,0.5505145192146301,0.2495964467525482,0.1729093790054321,0.1444440335035324,0.0
47,0,0.2751161456108093,0.3023356795310974,0.544857919216156,0.2425222396850586,0.1729093790054321,0.1403501182794571,0.0
48,0,0.2765035033226013,0.3036267161369324,0.5014272332191467,0.1978005170822143,0.1729093790054321,0.1144692003726959,0.0
49,0,0.2775591909885406,0.3043933808803558,0.4980250000953674,0.1936316192150116,0.1729093790054321,0.1120566129684448,0.0
50,0,0.2786209881305694,0.3050628304481506,0.4946490228176117,0.189586192369461,0.1729093790054321,0.1097154840826988,0.0
