step,episodeID,latent_wheel_slip_pos_norm,latent_speed,latent_desired_speed,latent_speed_error,weight_speed_slip,latent_accel_raw,latent_brake_raw
39,0,0.0,0.3542360961437225,0.7325812578201294,0.3783451616764068,-0.0039033063221722,0.3490628004074096,0.0
40,0,0.0,0.3591017127037048,0.7325919270515442,0.3734902143478393,-0.0039033063221722,0.3445836007595062,0.0
41,0,0.0,0.3637000024318695,0.7325878739356995,0.3688878715038299,-0.0039033063221722,0.3403374552726745,0.0
42,0,0.0,0.3682460486888885,0.7326247692108154,0.3643787205219269,-0.0039033063221722,0.3361772894859314,0.0
43,0,0.0,0.3726949393749237,0.7326242327690125,0.3599292933940887,-0.0039033063221722,0.3320722281932831,0.0
44,0,0.0,0.3770548105239868,0.7326259613037109,0.3555711507797241,-0.0039033063221722,0.3280513882637024,0.0
45,0,0.0,0.3813251256942749,0.732631504535675,0.3513063788414001,-0.0039033063221722,0.3241167068481445,0.0
46,0,0.0,0.3855084180831909,0.7326395511627197,0.3471311330795288,-0.0039033063221722,0.320264607667923,0.0
47,0,0.0,0.3896065652370453,0.7326822876930237,0.3430757224559784,-0.0039033063221722,0.3165230751037597,0.0
48,0,0.0,0.3936227858066559,0.732692301273346,0.33906951546669,-0.0039033063221722,0.312826931476593,0.0
49,0,0.0,0.3975588083267212,0.7327029705047607,0.3351441621780395,-0.0039033063221722,0.3092053830623626,0.0
50,0,0.0,0.40141761302948,0.7327154278755188,0.3312978148460388,-0.0039033063221722,0.3056567311286926,0.0
